Typ,Tema,Deltagare,Arrangor
,Samhälle och debatt,"Björn Wiman, David Jonstad, Helena Granström, Morten A. Strøksnes","Leopard, Natur & Kultur och Ordfront förlag"
Monterprogram,,Maria Ernestam,Eksjö Bokhandel
,,"Lisa Jewell, Mhairi McFarlane, Titti Schultz",HarperCollins Nordic och Printz Publishing
Monterprogram,Serier,Anneli Furmark,Kartago
Monterprogram,Barn och ungdom,Mats Strandberg,Rabén & Sjögren
,Hälsa och livsstil / Samhälle och debatt,"Aleksander Perski, Marianne Rundström, Patrik Hadenius",Wahlström & Widstrand
Monterprogram,,"Claes Andersson, Janina Orlov, Peter Sandström","Förlaget, Schildts & Söderströms"
,,"Daniel Sandström, Lotta Olsson",Albert Bonniers förlag
Monterprogram,,Märta Tikkanen,Vi Media AB
Monterprogram,Bibliotek / Samhälle och debatt,,Länsbiblioteket Västernorrland
Monterprogram,,,Linnéuniversitetet
Scenprogram,Samhälle och debatt,"Kajsa Wejryd, Pija Lindenbaum","Se människan, Lilla Piratförlaget"
Monterprogram,Barn och ungdom,,Rabén & Sjögren
Monterprogram,Barn och ungdom,,Rabén & Sjögren
,Populärvetenskap,Torill Kornfeldt,Fri Tanke förlag
Monterprogram,Deckare,"Anna Öqvist Ragnar, Jens Lapidus",Storytel
,Historia,"Caroline Krook, Herman Lindqvist, Per Svensson",Albert Bonniers förlag och Se människan/Svenska kyrkan
,Barn och ungdom,"Christoffer Carlsson, Eric Schüldt, Johanna Thydell",Alfabeta Bokförlag och Gilla Böcker
Monterprogram,Livsåskådning / Samhälle och debatt / Yttrandefrihet,,Karnstedts förlag
,Samhälle och debatt / Yttrandefrihet,"Cecilia Uddén, Ensaf Haidar",Wahlström & Widstrand
,Barn och ungdom,Elin Tomasson,"Nämnden för hemslöjdsfrågor, Kulturrådet"
,Samhälle och debatt,"Negra Efendic, Qaisar Mahmood, Sara Razai",Förlaget
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Khushi Kabir, Maria Persson, Monica Erwér",Svalorna Indien Bangladesh
,Fantasy och science fiction,"Erik Granström, Ola Wallin",Ersatz
"Monterprogram, Scenprogram",Bibliotek,Ericka Johansson,Linköpings universitet
,Historia / Samhälle och debatt,Jan Guillou,I samarbete med Piratförlaget
,Barn och ungdom / Skola,"Barbro Westlund, Niklas Gårdfeldt Leavy",Natur & Kultur
Monterprogram,,,Norstedts
Scenprogram,Barn och ungdom / Samhälle och debatt,"Clara Hyldgaard, Ebbe Andersson",Medverkstan och Karibu
Scenprogram,,"Boel Unnerstad, Helén Enqvist, Olle Wilöf, Patrik Lundberg",Författarcentrum och Sveriges Författarförbund
,,"Anna Mattsson, Marjun Syderbø Kjelnæs",FarLit
,Hälsa och livsstil / Memoarer och biografier,Pelle Sandstrak,Brombergs Bokförlag
,Memoarer och biografier,Christina Rickardsson,Bokförlaget Forum
Scenprogram,Barn och ungdom,Marianne Cederwall,Sällskapet för Ester Ringnér-Lundgren
Monterprogram,,,Forum
Monterprogram,,Joel Landberg,Retorikcentrum vid Göteborgs universitet
Monterprogram,,Ebba Witt-Brattström,Studieförbundet Vuxenskolan
Monterprogram,Deckare,,Forum
Monterprogram,Barn och ungdom,,Bonnier Carlsen
Monterprogram,Serier,,Kartago
,Hälsa och livsstil,Martin Forster,Natur & Kultur
,Deckare,"Kristoffer Lind, Tove Alsterdal",Lind & Co
Monterprogram,Livsåskådning,"Katarina Gäddnäs, Patrik Hagman",Fontana Media
Scenprogram,Historia / Samhälle och debatt,"Antje Jackelén, Peter Pomerantsev","Se människan, Ordfront förlag"
,Mat och dryck,Ernst Kirchsteiger,Bonnier Fakta
Monterprogram,Livsåskådning,Inger Edelfeldt,Norstedts
Monterprogram,Memoarer och biografier,"Alex Schulman, Anna Öqvist Ragnar",Storytel
,Samhälle och debatt,"Göran Therborn, Stefan Jarl",Arkiv förlag & tidskrift
,Barn och ungdom,Peter Bergting,"Semic, Kulturrådet"
,Deckare,"Anders Roslund, Börge Hellström",I samarbete med Piratförlaget
Monterprogram,Historia,,Norstedts
Scenprogram,Hälsa och livsstil / Samhälle och debatt,"Moa Kärnstrand, Olav Unsgaard, Tobias Andersson Åkerblom",Leopard förlag
"Monterprogram, Scenprogram",Barn och ungdom / Samhälle och debatt,Maria Zackariasson,Södertörns högskola
Monterprogram,Bibliotek / Hälsa och livsstil / Skola,,Hemslöjdens förlag
Scenprogram,Deckare,Arne Dahl,Författarcentrum och Sveriges Författarförbund
,Livsåskådning / Memoarer och biografier,"David Lagercrantz, Ingrid Elam, Lennart Hagerfors",Weyler förlag
Scenprogram,,Gil Dahlström,Alf Henrikson-sällskapet
Monterprogram,,Maria Ernestam,Forum
Monterprogram,,Einar Korpus,Institutionen för svenska språket
,Historia,Ingmar Söhrman,Vaktel förlag
,,,I samarbete med Norstedts förlag
,,"Petra Johansson, Therese Boman",I samarbete med Norstedts förlag
Monterprogram,Deckare,Mats Olsson,Studieförbundet Vuxenskolan
,Skola,Eva-Lisa Andersson,Lärarnas Riksförbund forum för Yrkesämnen
Monterprogram,,,Göteborgs universitet
Monterprogram,Barn och ungdom,,Bonnier Carlsen
Monterprogram,Memoarer och biografier,,Forum
,,"Katerina Janouch, Lina Forss, Lotta Olsson, Maria Nilson, Simona Ahrnstedt","Bokförlaget Forum, BTJ Förlag, HarperCollins Nordic och Piratförlaget"
,Deckare,"Jens Lapidus, Malin Persson Giolito, Maria Neij",Wahlström & Widstrand
Monterprogram,Serier,,Kartago
,,"Anna Jansson, Annika Estassy, Susanna Romanus",Norstedts
,Samhälle och debatt,"Anna Bennich Karlstedt, Katarina Wennstam",Albert Bonniers Förlag
Monterprogram,,Horace Engdahl,"Svenska litteratursällskapet i Finland, Litteraturbanken"
Monterprogram,,Jan Guillou,Eksjö Bokhandel
,,"Ellen Nyman, Lena Hansson",Ordberoende förlag och Studieförbundet Bilda
,,"Anna Hallberg, Athena Farrokhzad, Daniel Möller, Malte Persson, Niklas Schiöler, Tatjana Brandt",Albert Bonniers förlag
Scenprogram,Historia / Samhälle och debatt,"Kari Rosvall, Per Starke","Se människan, Libris & Bilda"
Monterprogram,,"Anna Jansson, Jenny Jägerfeld, Kristina Sandberg Kempe, Mats Strandberg, PO Enquist",Norstedts
,Barn och ungdom / Yttrandefrihet,"Christina Wahldén, Patrik Lundberg, Ylva Lagercrantz","Vilja/Nypon Förlag, Kulturrådet"
Monterprogram,Deckare / Serier,"Anna Öqvist Ragnar, Ninni Schulman",Storytel
,Deckare,"Lena Ebervall, Per E Samuelson",Piratförlaget
,Populärvetenskap,"Lisa Kirsebom, Ulf Ellervik, Zoe Cormier",Fri Tanke förlag
,Samhälle och debatt,"Carolina Frände, Johan Lundberg, Neta Norrmo",Göteborgs Stadsteater
Scenprogram,Samhälle och debatt,"Sheila Watt-Cloutier, Tinde Carlbrand",Right Livelihood Award stiftelsen och Svenska kyrkan
,Deckare / Samhälle och debatt,"Andreas Ekström, Anne Holt, Camilla Sten",Piratförlaget och Ordfront förlag
"Monterprogram, Scenprogram",Samhälle och debatt,Amir Rostami,Forskning & Framsteg
,,"Inger Edelfeldt, Petra Johansson",I samarbete med Norstedts förlag
Scenprogram,Hälsa och livsstil / Samhälle och debatt,"Meg Wolitzer, Sara Nyström",Wahlström & Widstrand
Scenprogram,Samhälle och debatt,Bodil Jönsson,Författarcentrum och Sveriges Författarförbund
,Samhälle och debatt,"Erika Oldberg, Gina Ionescu",Leopard
Scenprogram,,Lars Nyberg,Det unga Skåne
Monterprogram,,,Max Ström
Monterprogram,,Per Wästberg,Studieförbundet Vuxenskolan
"Monterprogram, Scenprogram",Samhälle och debatt,"Anders Hammarberg, Karin Romberg",Natur & Kultur
,Hälsa och livsstil,"Susanne Hellman Holmström, Suzanne Axell",Bokfabriken
Monterprogram,Memoarer och biografier,,Forum
Monterprogram,Barn och ungdom / Skola,,Lunds universitet
Monterprogram,Serier,,Kartago
,,Hanna Hellquist,Albert Bonniers förlag
,Deckare,"Gunilla Wedding, Johan Wopenka, Nisse Scherman",Svenska Deckarakademin
,Hälsa och livsstil,"Carolina Klüft, Katarina Blom",Norstedts
Monterprogram,Yttrandefrihet,"Ann-Christine Kihl, Anna-Lena Laurén, Henrik Huldén, Urban Hamid","Hanaholmen -kulturcentrum för Sverige och Finland, Kulturfonden för Sverige och Finland, Reportrar utan gränser, Glädjens Akademi"
Scenprogram,Barn och ungdom / Hälsa och livsstil / Livsåskådning,"Kristina Ohlsson, Marika Palmdahl","Se människan, Lilla Piratförlaget och S:t Lukas"
,Historia,Annika Sandén,Atlantis
Monterprogram,Fantasy och science fiction / Serier,"Anna Öqvist Ragnar, Lars Wilderäng",Storytel
,Barn och ungdom,"Flora Wiström, Sandra Beijer, Ylva Lagercrantz","Natur & Kultur, Bonnier Carlsen, Kulturrådet"
,Samhälle och debatt,"Ebba Witt-Brattström, Petra Johansson",I samarbete med Norstedts förlag
Scenprogram,Samhälle och debatt,Alexandra Pascalidou,Emmaus Björkå
Monterprogram,Hälsa och livsstil / Samhälle och debatt / Skola,,Slöjd i Väst
"Monterprogram, Scenprogram",Historia,"Anna Gavanas, Anna Östman",Linköpings universitet
Scenprogram,Deckare,"Anders Roslund, Börge Hellström",Författarcentrum och Sveriges Författarförbund
,Livsåskådning,"Björn Linnell, Horace Engdahl, Lena Andersson",Natur & Kultur
,,"Bob Hansson, Marie Lundström",Ordfront förlag
Scenprogram,,Jonas Ellerström,Anna Rydstedt-sällskapet
Monterprogram,,Björn Ranelid,Albert Bonniers Förlag
Monterprogram,,,Type & Tell
,Serier,"Gunnar Lundkvist, Nina Hemmingsson",Kartago
,Samhälle och debatt,"Erlend Loe, Hanna Jedvik",I samarbete med Alfabeta bokförlag
Monterprogram,Deckare,,Studieförbundet Vuxenskolan
Monterprogram,Deckare,,Forum
,Deckare,"Lars Olof Lampers, Thomas Bodström",Norstedts
,Barn och ungdom / Hälsa och livsstil,"Anna Lagerblad, Jenny Milewski, Sofia Berne",SvD Idagsidan
Monterprogram,,"Claes Andersson, Katarina Gäddnäs",Förlaget
,Samhälle och debatt,"Bitte Hammargren, Sofia Walan","Marcus förlag, Kristna Fredsrörelsen, Studieförbundet Bilda"
Scenprogram,Memoarer och biografier,"Caroline Krook, Thorsten Flinck","Se människan, Bookmark förlag"
Monterprogram,Samhälle och debatt,,Norstedts
,,"Maria Antas, Sofi Oksanen",Förlaget
,Barn och ungdom,Natalia Batista,"Nosebleed Studio, Kulturrådet"
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Ann-Christine Kihl, Anna-Lena Laurén, Henrik Huldén, Urban Hamid","Hanaholmen - kulturcentrum för Sverige och Finland, Glädjens akademi, Reportrar utan gränser"
Monterprogram,Hälsa och livsstil / Memoarer och biografier,Carolina Klüft,Norstedts
"Monterprogram, Scenprogram",Historia,Leif Runefelt,Södertörns högskola
,Samhälle och debatt,"Annika Lantz, Åsa Selling",I samarbete med Wahlström & Widstrand
Monterprogram,Deckare,David Lagercrantz,Norstedts
Scenprogram,Barn och ungdom / Samhälle och debatt,Katarina Wennstam,Albert Bonnier Förlag
Scenprogram,,Bengt Ohlsson,Författarcentrum och Sveriges Författarförbund
Scenprogram,,Lena Gynnemo,Selma Lagerlöf-sällskapet
Monterprogram,Deckare,Malin Persson Giolito,Studieförbundet Vuxenskolan
Monterprogram,Serier,,Kartago
Scenprogram,Historia,"Claes-Bertil Ytterberg, Göran Everdahl","Se människan, Norstedts"
Monterprogram,Memoarer och biografier,"Anna Öqvist Ragnar, Sofia Falk",Storytel
Scenprogram,Memoarer och biografier / Samhälle och debatt,"Albert Askeljung, Carolina Klüft",Svenska FN-förbundet
"Monterprogram, Scenprogram",Barn och ungdom / Samhälle och debatt / Skola,Camilla Forsberg,Linköpings universitet
Monterprogram,Barn och ungdom / Bibliotek / Hälsa och livsstil / Memoarer och biografier / Skola,,Sportförlaget i Europa AB
Monterprogram,Barn och ungdom / Bibliotek / Memoarer och biografier / Samhälle och debatt / Skola / Yttrandefrihet,,Sportförlaget i Europa AB
Monterprogram,Barn och ungdom / Bibliotek / Memoarer och biografier / Samhälle och debatt / Skola / Yttrandefrihet,,Sportförlaget i Europa AB
Monterprogram,Historia,Carin Myrberg,Carin Myrberg Agency
Monterprogram,Barn och ungdom / Bibliotek / Fantasy och science fiction / Historia / Skola,,Roslagstext
Scenprogram,Barn och ungdom / Samhälle och debatt / Yttrandefrihet,"Afrah Nasser, Anna-Karin Johansson, Hadeel Hazim, Sholeh Irani",Svenska Afghanistankommittén
Scenprogram,Livsåskådning,,Se människan
Monterprogram,,"Sanna Tahvanainen, Wivan Nygård-Fagerudd",Schildts & Söderströms
"Monterprogram, Scenprogram",Bibliotek / Samhälle och debatt / Skola,"Anders Franck, Anders Omstedt, Tyrone Martinsson","Jonsereds herrgård, Göteborgs universitet, Se Människan och Cusanus"
,Hälsa och livsstil,Liria Ortiz,Natur & Kultur
Scenprogram,Livsåskådning / Samhälle och debatt,"Birgitta Westlin, Lotta Olsson","Se människan, Lilla Piratförlaget"
"Monterprogram, Scenprogram",,Johan Mårteliu,De svenska Medelhavsinstituten
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Ann Margreth Hellberg, Marie-Louise Zeisig",Zonta
Scenprogram,Historia,Maria Gustavsdotter,Författarcentrum och Sveriges Författarförbund
Scenprogram,,Magdalena Sørensen,Författarcentrum och Sveriges Författarförbund
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,,Catharina Ingelman-Sundberg,Forum
,Barn och ungdom / Yttrandefrihet,Johanna Persson,I samarbete med Mölnlycke bibliotek
,Skola,Tomas Dalström,Lärarnas Riksförbund
Monterprogram,Barn och ungdom / Samhälle och debatt,,Forum
Monterprogram,Barn och ungdom / Samhälle och debatt,,Forum
Monterprogram,Livsåskådning,"Katarina Gäddnäs, Patrik Hagman",Fontana Media
Monterprogram,Barn och ungdom / Bibliotek,,Barnens bibliotek
,,Mattias Stølen Due,Libris Förlag
,Memoarer och biografier,Plura Jonsson,Studieförbundet Vuxenskolan
Scenprogram,Samhälle och debatt,"Dan-Erik Sahlberg, David Norlin","Se människan, Weyler Förlag"
,Barn och ungdom,"Martin Widmark, Ola Lindholm","Bonnier Carlsen, Kulturrådet"
Scenprogram,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola,"Caroline Åberg, Staffan Landin",UNDP
"Monterprogram, Scenprogram",Samhälle och debatt,Aleksandar Matic,Vetenskapsrådet
Scenprogram,Deckare,Jenny Rogneby,Författarcentrum och Sveriges Författarförbund
,Hälsa och livsstil,"Andreas Svensson, Jakob Carlander",Gothia Fortbildning
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Ami Lönnroth, Olof Holm",Almqvistsällskapet & Wendelas vänner
Monterprogram,,,Bonnier Carlsen
Monterprogram,,Peter Baeza,Retorikcentrum vid Göteborgs universitet
Monterprogram,Barn och ungdom,,Bonnier Carlsen
Monterprogram,Deckare,,Albert Bonniers Förlag
Monterprogram,Historia,"Henrik Meinander, Wivan Nygård-Fagerudd",Svenska litteratursällskapet i Finland
,Historia / Memoarer och biografier,"Christina Wahldén, Peter Karlsson",Norstedts
,Deckare,"Ann Rosman, Helena Ljungström",Albert Bonniers förlag
,Hälsa och livsstil,Anna Bennich Karlstedt,Natur & Kultur
Monterprogram,,,Norstedts
Scenprogram,Samhälle och debatt,"Khashayar Naderehvandis, Lena Sjöstrand","Se människan, Norstedts"
,Barn och ungdom,"Anne-Marie Körling, Lisa Löfving",Kulturrådet
Monterprogram,Samhälle och debatt,"Anna Öqvist Ragnar, Malin Wollin",Storytel
,,"Anna Fredriksson, Karin Linge Nordh, Ninni Schulman",Bokförlaget Forum
Scenprogram,Barn och ungdom / Samhälle och debatt,"Erik de la Reguera, Victoria Särnhult, Zelina Nyhlén",Svalorna Latinamerika
,Hälsa och livsstil,"Fredrik Schenholm, Karin Fingal",I samarbete med Tukan förlag
"Monterprogram, Scenprogram",Samhälle och debatt,"Ingmar Skoog, Johanna Gustafsson, Sara Blom","Jonsereds herrgård, Göteborgs universitet, Se Människan och Cusanus"
Monterprogram,Bibliotek / Hälsa och livsstil / Skola,,Hemslöjdens förlag
Scenprogram,Samhälle och debatt,"Cecilia Weschke, Markus Lutteman",Bookmark förlag
Scenprogram,Deckare,Peter Stjernström,Författarcentrum och Sveriges Författarförbund
,Memoarer och biografier / Samhälle och debatt,"Alexandra Pascalidou, Flora Wiström, Kakan Hermansson",Bokförlaget Forum och Bonnier Carlsen
,,Sven Wollter,Ordfront förlag
Scenprogram,,Ingrid Nettervik,Vilhelm Moberg-Sällskapet
Monterprogram,,"Henrieta Adamsson Eryd, Ida Larsson, Sofia Tingsell",Institutionen för svenska språket
,Hälsa och livsstil / Memoarer och biografier,"Karin Wahlberg, Åsa Selling",Wahlström & Widstrand
,Hälsa och livsstil,Anders Hilmersson,I samarbete med Tukan förlag
,Skola,"Eva Söderberg, Helena Linge",Lärarnas Riksförbund
Monterprogram,Barn och ungdom,Lin Hallberg,Bonnier Carlsen
Monterprogram,Barn och ungdom,,Bonnier Carlsen
Monterprogram,Hälsa och livsstil,"Janina Orlov, Maria Antas",Förlaget
Monterprogram,Serier,,Kartago
,Hälsa och livsstil,"Erik Sidenbladh, Martin Forster",Bonnier Fakta
,Hälsa och livsstil,"Anna Bennich Karlstedt, Jonas Mattsson, Poul Perris",Natur & Kultur
Monterprogram,,"Jonas Gardell, Yukiko Duke",Vi Media AB
Monterprogram,,Ola Larsmo,Studieförbundet Vuxenskolan
Monterprogram,,Maria Gustavsdotter,Eksjö Bokhandel
Monterprogram,,,Norstedts
,,,Type & Tell
,Barn och ungdom,"Josefine Sundström, Martin Widmark, Ola Lindholm, Patrik Hadenius",Bonnier Carlsen
,Barn och ungdom,"Julia Märak Leffler, Malin Eriksson, Marcus Gunnar Pettersson, Marit Puranen","Olika förlag, Kulturrådet"
,Hälsa och livsstil,Håkan Wallander,Bokförlaget Langenskiöld
Monterprogram,Fantasy och science fiction,"Anna Öqvist Ragnar, Siri Pettersen",Storytel
Monterprogram,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola,,Karnstedts förlag
,Livsåskådning,"Birgitta Mannerström-Molin, Bob Hansson, Elsie Johansson, Lotta Olsson, Ludvig Lindelöf","Se människan/Svenska kyrkan, Albert Bonniers förlag, Ordfront förlag och Lilla Piratförlaget"
,Livsåskådning,"Bengt Ohlsson, Hanna Hellquist, Marianne Rundström",Albert Bonniers förlag
,,"Karin Parrot Jonzon, Ole Anders Tandberg, Sisela Lindblom",Göteborgs Stadsteater
"Monterprogram, Scenprogram",Bibliotek / Historia,"Gunilla Iversen, Lena Sussan Norin, Thomas Hammar",Riksbankens Jubileumsfond
Monterprogram,,,Norstedts
,Historia / Samhälle och debatt,,I samarbete med Röda Stens Konsthall
Scenprogram,Samhälle och debatt,Gunilla Ander,Författarcentrum och Sveriges Författarförbund
Monterprogram,,"Claes Andersson, Katarina Gäddnäs",Förlaget
,,David Batra,Bokförlaget Forum
Scenprogram,,Catharina Grünbaum,Alf Henrikson-sällskapet
Monterprogram,,,Forum
,,Erlend Loe,Alfabeta Bokförlag
Monterprogram,,Maria Löfdahl,Institutet för språk och folkminnen
Monterprogram,Deckare,,Forum
Monterprogram,Barn och ungdom,Vanna Rosenberg,Bonnier Carlsen
Monterprogram,Samhälle och debatt,Thommy Eriksson,Göteborgs universitet
,,"Daniel Sandström, Katarina Wennstam",Albert Bonniers förlag
Monterprogram,,,Norstedts
,Historia,Lars Nordström,Votum Förlag och Svenska Migrationcentret
,Barn och ungdom / Serier,"Hanna Gustavsson, Mats Jonsson","Alfabeta, Galago, Kulturrådet"
"Monterprogram, Scenprogram",Barn och ungdom,Asta Cekaite,Linköpings universitet
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Gert Gelotte, Olle Katz",Svenska Palestinakommittén
,Barn och ungdom,Cecilia Knutsson,I samarbete med Rabén & Sjögren
,Historia / Memoarer och biografier,"Dag Sebastian Ahlander, John Chrispinsson, Yrsa Stenius",Historiska Media och Förlaget
,Hälsa och livsstil,Mia Lundin,Bonnier Fakta
Scenprogram,Memoarer och biografier / Samhälle och debatt,"Cecilia Uddén, Lejla Hastor, Nivin Yosef",Wahlström och Widstrand och Internationella torget
Scenprogram,,"Arne Johnsson, Madeleine Hessérus",Författarcentrum och Sveriges Författarförbund
Monterprogram,,"Janina Orlov, Maria Antas, Sanna Tahvanainen","Förlaget, Schildts & Söderströms"
,Barn och ungdom,"Elin Bengtsson, Jessica Schiefauer, Johanna Ringertz",Natur & Kultur och Bonnier Carlsen
,,"Curt Persson, Maria Söderberg, Staffan Hansson",Midsommar och förlaget Tornedalica
"Monterprogram, Scenprogram",Barn och ungdom / Historia / Samhälle och debatt / Skola,Marika Tandefelt,Forskartorget/Svenska Litteratursällskapet i Finland
,Fantasy och science fiction,"Johanna Koljonen, Julie Kagawa, Maria Turtschaninoff","HarperCollins Nordic, Förlaget och Berghs Förlag"
Scenprogram,,"Maria Wiell, Sigrid Fredriksson, Viktoria Bengtsdotter Katz",De öländska litterära sällskapen
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,,Kristian Lundberg,Wahlström & Widstrand
Monterprogram,,Ulf Karl Olof Nilsson,Studieförbundet Vuxenskolan
,Fantasy och science fiction,Hanna Ricksten,I samarbete med Styxx Fantasy
Monterprogram,Barn och ungdom,,Bonnier Carlsen
,Memoarer och biografier,,Norstedts
,,"Carolina Klüft, Katarina Blom",Norstedts
Monterprogram,Bibliotek / Skola,,Lärarnas Riksförbund i samarbete med Novellix
Monterprogram,,Catharina Ingelman-Sundberg,Eksjö Bokhandel
Monterprogram,,,Tukan förlag
Scenprogram,Livsåskådning,"Annika Lagercrantz, Patrik Hagman","Se människan, Verbum"
,Barn och ungdom,"Ada Wester, Catharina Hansson, Lena Furberg, Lin Hallberg, Malin Eriksson, Pia Hagmar","Semic, B. Wahlströms, Bonnier Carlsen och Bokförlaget Opal"
Monterprogram,Samhälle och debatt,"Anna Öqvist Ragnar, Lars Olof Lampers, Thomas Bodström",Storytel
,,"Jenny Wrangborg, Torgny Karnstedt",Föreningen Arbetarskrivare
,Memoarer och biografier,"Björn af Kleen, Cecilia Hagen",Albert Bonniers förlag
,Barn och ungdom,Ola Selmén,"Pintxo förlag, Kulturrådet"
Monterprogram,,,Norstedts
Scenprogram,Barn och ungdom / Samhälle och debatt,"Ann Svensén, Eva Emmelin, Naomi Nyalusi",IM ? Individuell Människohjälp och IOGT-NTO
,,"Sara Nyström, Viveca Lärn",I samarbete med Wahlström & Widstrand
Monterprogram,Barn och ungdom,,Bonnier Fakta
Monterprogram,,,Norstedts
"Monterprogram, Scenprogram",Bibliotek / Historia / Samhälle och debatt,"Annika Moberg, Henrik Zetterberg, Kirsten Kraiberg",Sveriges unga akademi
,Hälsa och livsstil / Samhälle och debatt,"Daniel Öhman, Maximillian Lundin",Bonnier Fakta
Scenprogram,,Sven Wollter,Författarcentrum och Sveriges Författarförbund
,,Mi Ridell,Lava Förlag
,Hälsa och livsstil,"Ebba Kleberg von Sydow, Sofia Falk, Therese Krupa Syllner",Massolit
Scenprogram,,Lennart Andreasson,DELS/Parnass
Monterprogram,,Elaine Eksvärd,Studieförbundet Vuxenskolan
Monterprogram,Memoarer och biografier,"Sofia Torvalds, Wivan Nygård-Fagerudd",Schildts & Söderströms
Monterprogram,Samhälle och debatt,Katarina Wennstam,Albert Bonniers Förlag
Monterprogram,Samhälle och debatt,,Göteborgs universitet
Monterprogram,Barn och ungdom,,Bonnier Carlsen
,,"Eija Hetekivi Olsson, Susanna Romanus",Norstedts
,Hälsa och livsstil,"Agneta Lagercrantz, Anders Hammarberg, Karin Romberg",Natur & Kultur
,,"Malcolm Dixelius, Zinaida Lindén",Schildts & Söderströms
Scenprogram,Livsåskådning / Samhälle och debatt,"Kakan Hermansson, Kent Wisti","Se människan, Forum"
,Barn och ungdom,Vanna Rosenberg,"Bonnier Carlsen, Kulturrådet"
Scenprogram,Samhälle och debatt,"Helene Bergman, Ulf Boström",GAPF
Monterprogram,,,Forum
,,"Adam Dahlin, Carin Hjulström",I samarbete med Bokförlaget Forum
Monterprogram,,,Norstedts
"Monterprogram, Scenprogram",,,Stiftelsen för strategisk forskning
Scenprogram,Samhälle och debatt,"Johanna Daehli, Kim Thúy",Sekwa förlag
Scenprogram,,Malin Wollin,Författarcentrum och Sveriges Författarförbund
,,Susanna Karlsson,Institutet för språk och folkminnen
,Samhälle och debatt,"Cecilia Uddén, Göran Rosenberg, Karen Armstrong",Natur & Kultur och Se människan/Svenska kyrkan
Monterprogram,,"Birgitta Boucht, Katarina Gäddnäs",Schildts & Söderströms
,Samhälle och debatt,"Gellert Tamas, Mattias Gardell, Åsa Linderborg",Leopard
,,"Malin Persson Giolito, Maria Ernestam",Bokförlaget Forum och och Wahlström & Widstrand
,,"Anna Levahn, Johan Carle",Printz Publishing
Scenprogram,,Peter Forsgren,Elin Wägner-sällskapet
Monterprogram,,,Forum
Monterprogram,,Marianne Rundström,Studieförbundet Vuxenskolan
Monterprogram,,Kirsti Hansen,Institutionen för svenska språket
,Historia / Memoarer och biografier,Rikke Petersson,I samarbete med Folkuniversitetet
,Skola,Dilsa Demirbag-Sten,Lärarnas Riksförbund
,Memoarer och biografier,Anna-Lena Joners Larsson,HarperCollins Nordic
Monterprogram,Samhälle och debatt,,Göteborgs universitet
Monterprogram,Barn och ungdom,Ola Lindholm,Bonnier Carlsen
Monterprogram,Barn och ungdom,,Bonnier Carlsen
Monterprogram,Barn och ungdom / Bibliotek,,Barnens bibliotek
Seminarium 45 min,,Jonas Gardell,Norstedts
,Memoarer och biografier,"Elsie Johansson, Eva Bonnier",Albert Bonniers förlag
,Hälsa och livsstil,Martin Forster,Natur & Kultur
Monterprogram,,Yukiko Duke,Vi Media AB
,Deckare,"Arne Dahl, Daniel Sandström",Albert Bonniers förlag
Monterprogram,,Bengt Ohlsson,Eksjö Bokhandel
Scenprogram,Memoarer och biografier,"Mikael Ringlander, Sven Wollter","Se människan, Ordfront förlag"
,Livsåskådning,"Amanda Schulman, Annika Lantz, Hannah Widell, Linda Skugge",Bokförlaget Forum och Wahlström & Widstrand
,Memoarer och biografier,"Christer Lindarw, Marianne Rundström",Bonnier Fakta
,Barn och ungdom,"Johan Sandberg McGuinne, Lisa Marainen","Bágo-&#269;álliid searvi, Kulturrådet"
"Monterprogram, Scenprogram",Historia,Inger Olausson,Linköpings universitet
Scenprogram,Hälsa och livsstil / Samhälle och debatt,"Andy Hall, Kristina Henschen, Maria Sjödin, Min Naing Aung",Union to Union och Fair Action
Monterprogram,,,Albert Bonniers Förlag
,Fantasy och science fiction,"Jennifer Lindström, Lars Wilderäng",I samarbete med Massolit förlag
Scenprogram,,Annika Paldanius,Författarcentrum och Sveriges Författarförbund
Monterprogram,,"Sara Razai, Sofia Torvalds, Wivan Nygård-Fagerudd","Förlaget, Schildts & Söderströms"
Scenprogram,,Martin Bagge,Harry Martinson-sällskapet
,,"Mats Strandberg, Åsa Avdic",Natur & Kultur
Monterprogram,,,Bonnierförlagen
,Barn och ungdom / Skola,"Alle Eriksson, Lovette Jallow",Rabén & Sjögren
Monterprogram,Hälsa och livsstil / Samhälle och debatt,Ingmar Skoog,Göteborgs universitet
,Mat och dryck,"Britt-Marie Mattsson, Johanna Kullman, Leif Mannerström",Norstedts
,Hälsa och livsstil,"Jonas Mattsson, Ulf Karl Olov Nilsson",Norstedts
,Memoarer och biografier,"Karin Jidhe, Sanna Tahvanainen",Schildts & Söderströms
Scenprogram,Samhälle och debatt,"Katarina Wennstam, Kicki Byström","Se människan, Albert Bonniers Förlag"
,Hälsa och livsstil,"Cajsa Tengblad, Kattis Ahlström",Libris och Studieförbundet Bilda
